"estacao","cidade","estado","dia_maior_variacao","maior_variacao","temperatura_max","temperatura_min","media_variacao"
"Conceicao Do Araguaia","Conceição do Araguaia","PA","2024-09-05","24.8","39.4","14.6","12.03"
"Querencia","Querência","MT","2019-09-14","24.7","41.0","16.3","12.54"
"Barra Do Corda","Barra do Corda","MA","2017-08-01","24.6","43.5","18.9","11.11"
"Santa Rosa Do Tocantins","Santa Rosa do Tocantins","TO","2024-09-04","24.5","39.9","15.4","13.22"
"Alto Taquari","Alto Taquari","MT","2024-08-20","24.3","35.7","11.4","12.02"
"Alto Araguaia","Alto Araguaia","MT","2016-07-18","24.2","29.5","5.3","12.51"
"Alta Floresta","Alta Floresta","MT","2024-09-05","24.0","39.0","15.0","11.51"
"Pedro Afonso","Pedro Afonso","TO","2024-09-05","23.8","40.8","17.0","11.75"
"Santana Do Araguaia","Santana do Araguaia","PA","2024-09-05","23.8","39.6","15.8","12.29"
"Guaranta Do Norte","Guarantã do Norte","MT","2024-09-05","23.7","40.8","17.1","11.87"
"Cuiaba","Cuiabá","MT","2003-08-19","23.6","37.7","14.1","11.06"
"Gaucha Do Norte","Gaúcha do Norte","MT","2008-09-24","23.5","36.9","13.4","11.98"
"Peixe","Peixe","TO","2007-09-17","23.5","40.0","16.5","11.96"
"Santa Maria Das Barreiras","Santa Maria das Barreiras","PA","2024-09-05","23.5","40.0","16.5","11.99"
"Sinop","Sinop","MT","2012-09-11","23.5","39.0","15.5","11.82"
"Araguaina","Araguaína","TO","2010-08-10","23.4","36.3","12.9","12.32"
"Paranatinga","Paranatinga","MT","2019-09-06","23.3","37.8","14.5","12.21"
"Santo Antonio Do Leste","Santo Antônio do Leste","MT","2018-08-14","23.1","35.3","12.2","11.75"
