ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;WDPAID
2795;0000.35.2795;;RPPN RESERVA DO DADINHO;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2012;2012;Resolução 54 de 29/06/2012;Sem informação.;ATIBAIA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;12;12;11,66;;0;0;0;12;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576367
2839;0000.35.2839;;PARQUE ESTADUAL NASCENTES DO PARANAPANEMA;Estadual;Parque;Category II;SP;2012;2012;Decreto 58.148 de 21/06/2012;Sem informação.;CAPÃO BONITO (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;22.212;22.212;22.269;;0;0;0;22.212;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576332
3740;0000.35.3740;;FLORESTA ESTADUAL DO NOROESTE PAULISTA;Estadual;Floresta;Category VI;SP;2018;2018;Decreto 63.455 de 05/06/2018;Sem informação.;MIRASSOL (SP) - SÃO JOSÉ DO RIO PRETO (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;393;393;379,94;;0;0;0;393;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682328
3887;0000.35.3887;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO ITAPETI;Estadual;Área de Proteção Ambiental;Category V;SP;2018;2018;Decreto 63.871/2018 de 29/11/2018;Sem informação.;GUARAREMA (SP) - MOGI DAS CRUZES (SP) - SUZANO (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;5.141;5.141;5138,94;;0;0;0;5.141;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682289
2001;0000.43.2001;;PARQUE ESTADUAL DO IBITIRIÁ;Estadual;Parque;Category II;RS;1975;1975;Decreto 23.798 de 12/03/1975;Sem informação.;BOM JESUS (RS) - VACARIA (RS);Sim;Não;SECRETARIA DO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL DO RIO GRANDE DO SUL - RS;1;409;409;415;;0;0;0;409;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682368
2824;0080.33.2824;;MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO;Municipal;Monumento Natural;Category III;RJ;2012;2012;Decreto 2888 de 10/05/2012;Sem informação.;CACHOEIRAS DE MACACU (RJ);Sim;Sim;SECRETARIA MUNICIPAL DE MEIO AMBIENTE DE CACHOEIRAS DE MACACU - RJ;1;3514,771217;3514,771217;3431,41;;0;0;0;3514,771217;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;Sem informação.
4690;0225.33.4690;;ÁREA DE PROTEÇÃO AMBIENTAL VALE DO PIABANHA;Municipal;Área de Proteção Ambiental;Category V;RJ;2010;2010;Decreto 643 de 26/03/2010;Sem informação.;AREAL (RJ);Não;Não;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E TURISMO DE AREAL - RJ;1;3.647;3.647;3662;;0;0;0;3.647;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555783623
2943;0310.33.2943;;MONUMENTO NATURAL DA ÁGUA SANTA;Municipal;Monumento Natural;Category III;RJ;2013;2013;Decreto 037 de 03/06/2013;Sem informação.;NATIVIDADE (RJ);Não;Não;PREFEITURA MUNICIPAL DE NATIVIDADE - RJ;1;1.171;1.171;1172;;0;0;0;1.171;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555758968
1795;0455.33.1795;;APA DA PEDRA BRANCA;Municipal;Área de Proteção Ambiental;Category V;RJ;1988;1988;Lei ordinária 1206 de 28/03/1988;Sem informação.;RIO DE JANEIRO (RJ);Não;Não;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E CLIMA DO RIO DE JANEIRO - RJ;1;5.388;5.388;5.387;;0;0;0;5.388;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;478475
1816;0455.33.1816;;APA DO MORRO DOS CABRITOS;Municipal;Área de Proteção Ambiental;Category V;RJ;1992;1992;Lei ordinária 1912 de 28/09/1992;Sem informação.;RIO DE JANEIRO (RJ);Não;Não;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E CLIMA DO RIO DE JANEIRO - RJ;1;135;135;135;;0;0;0;135;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;478472
1817;0455.33.1817;;APA DO MORRO DA SAUDADE;Municipal;Área de Proteção Ambiental;Category V;RJ;1992;1992;Lei ordinária 1912 de 28/09/1992;Sem informação.;RIO DE JANEIRO (RJ);Não;Não;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E CLIMA DO RIO DE JANEIRO - RJ;1;59;59;59;;0;0;0;59;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;478473
3214;0490.33.3214;;ÁREA DE PROTEÇÃO AMBIENTAL DO ENGENHO PEQUENO;Municipal;Área de Proteção Ambiental;Category V;RJ;1991;1991;Decreto 054/1991 de 19/07/1991;Sem informação.;SÃO GONÇALO (RJ);Não;Sim;SECRETARIA MUNICIPAL DE MEIO AMBIENTE DO MUNICÍPIO DE SÃO GONÇALO - RJ;1;1.364;1.364;1.364;;0,0;0,0;0,0;1.363,8;0,0;0,0;0,0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555636511
4895;0606.35.4895;;ÁREA DE PROTEÇÃO AMBIENTAL DO ENGENHO D’AGUA;Municipal;Área de Proteção Ambiental;Category V;SP;2023;2023;Lei ordinária LEI Nº 5.933 DE 08 DE NOVEMBRO DE 2023. de 08/11/2023;Sem informação.;PORTO FELIZ (SP);Não;Sim;DIRETORIA DE MEIO AMBIENTE DE PORTO FELIZ - SP;1;3.090;3.090;3.123;;0;0;0;3.090;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;Sem informação.
